Valve0_duration,Valve1_duration,Valve2_duration,X,Y,Z
1756,1674,1762,-1.5,-0.43999999999999995,27.689999999999998
1884,1773,1082,-0.43999999999999995,-3.63,28.370000000000005
1981,96,1311,-9.379999999999999,2.25,27.75
1201,1379,1089,-0.6200000000000001,-1.44,28.060000000000002
856,809,1054,-0.31000000000000005,0.87,28.189999999999998
208,1289,1986,6.75,6.44,28.189999999999998
1249,123,513,-7.4399999999999995,-1.81,27.810000000000002
1373,1384,1722,-0.94,0.62,28.560000000000002
601,1656,1385,5.380000000000001,1.06,28.810000000000002
875,894,876,-0.1200000000000001,-0.81,28.810000000000002
654,1135,1517,2.75,2.88,28.870000000000005
52,842,1483,5.75,6.38,28.75
271,435,65,1.8099999999999996,-3.06,28.689999999999998
1798,1742,1272,0.1299999999999999,-3.0,29.120000000000005
371,1211,1563,5.4399999999999995,3.56,29.25
317,778,175,3.63,-4.0,29.189999999999998
1626,318,411,-7.0,-4.81,29.75
1027,361,1108,-5.1899999999999995,2.38,29.620000000000005
136,1640,710,8.56,-1.19,29.689999999999998
1063,354,630,-4.31,-1.56,29.439999999999998
1792,31,1408,-10.440000000000001,3.63,28.620000000000005
428,194,107,-2.81,-2.63,28.620000000000005
1982,1566,591,-2.44,-7.75,29.060000000000002
1564,535,1214,-6.13,0.5,29.0
677,277,1192,-3.94,4.81,28.810000000000002
78,508,1107,3.13,5.81,29.189999999999998
314,851,497,4.1899999999999995,-1.44,29.189999999999998
576,1511,672,5.6899999999999995,-3.13,29.370000000000005
1804,1127,1723,-2.69,-0.5,29.620000000000005
1083,857,1394,-2.0,1.44,29.620000000000005
873,465,1301,-3.31,3.75,29.560000000000002
153,571,252,2.4400000000000004,-2.0,29.560000000000002
1701,706,1558,-4.8100000000000005,1.19,29.5
1717,965,1649,-3.94,0.81,29.689999999999998
182,71,928,-0.56,6.13,30.5
1829,1904,1829,-0.1200000000000001,-0.75,30.870000000000005
144,940,1136,5.8100000000000005,3.88,30.870000000000005
1351,372,1604,-6.1899999999999995,3.94,30.620000000000005
820,992,907,0.1900000000000004,-0.38,30.560000000000002
376,1968,272,7.75,-6.94,30.689999999999998
1828,777,906,-4.25,-2.81,30.870000000000005
1873,811,1758,-5.3100000000000005,0.69,30.939999999999998
96,684,1500,3.38,6.06,30.810000000000002
501,621,1450,1.25,4.94,31.370000000000005
1533,1646,1801,-0.31000000000000005,0.31,31.689999999999998
147,555,864,3.0,3.63,31.75
1715,1999,1206,0.6299999999999999,-3.19,32.25
892,395,264,-3.44,-5.0,32.31
1711,1476,5,-2.12,-12.5,32.81
520,1806,746,6.380000000000001,-3.63,33.19
286,303,47,0.5599999999999996,-3.75,32.94
525,419,1713,-0.31000000000000005,6.25,32.94
280,1182,210,4.9399999999999995,-5.44,33.44
717,633,1390,-0.43999999999999995,3.69,33.370000000000005
1317,975,853,-2.0,-2.38,33.56
1557,1819,472,0.0,-9.56,34.120000000000005
1484,178,1244,-7.6899999999999995,1.75,33.81
1540,1340,431,-1.94,-7.8100000000000005,34.25
914,1691,1307,2.13,-0.81,34.5
1989,1954,994,-0.1200000000000001,-5.31,35.0
1758,92,1925,-9.059999999999999,4.1899999999999995,34.31
1074,684,117,-2.81,-7.8100000000000005,35.120000000000005
1442,1400,1211,-1.44,-2.19,35.44
468,470,1442,-0.25,5.5,35.44
223,1607,1811,8.31,4.5,35.31
70,1493,1239,8.44,3.44,35.06
1471,301,1390,-6.8100000000000005,3.31,34.44
1294,702,1052,-3.94,0.0,34.5
1309,599,1319,-4.75,1.56,34.5
1210,395,1259,-6.13,2.63,34.370000000000005
1268,120,504,-7.38,-2.56,34.75
655,1863,176,4.8100000000000005,-9.19,35.19
683,1327,1092,3.1900000000000004,-0.25,35.25
420,1408,492,5.6899999999999995,-3.75,35.25
1897,174,1219,-8.809999999999999,1.5,34.5
1188,1009,882,-1.87,-2.19,34.75
848,775,1349,-1.12,2.19,34.69
689,1054,1508,1.9400000000000004,3.0,34.69
1328,264,1528,-7.13,4.13,34.31
254,367,1792,0.9400000000000004,8.379999999999999,34.81
341,585,1169,1.88,5.06,34.56
1677,120,233,-9.629999999999999,-5.19,34.25
383,1248,1714,4.630000000000001,4.1899999999999995,34.25
514,1272,65,4.0600000000000005,-7.75,34.370000000000005
685,908,1433,1.0599999999999996,2.06,34.5
245,1912,1525,8.75,2.88,34.25
159,1459,162,6.130000000000001,-5.75,34.06
278,873,924,4.8100000000000005,2.06,33.94
1763,1387,899,-1.69,-4.25,35.0
511,179,653,-2.81,1.0,35.06
664,1079,1129,1.88,1.13,34.94
372,833,1516,3.63,5.13,34.870000000000005
489,1787,202,6.0,-7.5,34.870000000000005
116,1371,1434,8.38,3.94,35.0
1064,225,500,-5.25,-2.19,34.69
220,1864,750,8.69,-1.56,34.75
1325,1373,577,0.4400000000000004,-6.69,34.870000000000005
1423,423,214,-5.6899999999999995,-7.25,35.620000000000005
819,347,1043,-3.75,2.19,35.69
941,1315,122,1.13,-8.94,35.870000000000005
150,662,314,3.63,-3.06,36.0
220,1408,1060,7.75,1.19,35.870000000000005
1356,1438,327,0.4400000000000004,-9.31,36.120000000000005
817,811,1669,0.5,3.0,36.370000000000005
880,589,1695,-1.75,4.5,36.19
1297,1071,177,-1.69,-9.06,36.5
882,1548,331,3.25,-8.38,37.5
836,835,652,0.1900000000000004,-3.13,37.81
604,860,167,1.75,-6.75,37.94
352,1495,1537,7.25,2.75,38.06
847,887,1831,0.5,3.5,38.06
987,323,1375,-4.8100000000000005,4.13,37.94
444,248,1367,-1.81,6.75,37.81
1563,1392,227,-0.69,-10.0,38.120000000000005
1081,1226,762,0.6299999999999999,-4.13,38.31
867,55,37,-5.3100000000000005,-4.94,38.620000000000005
891,1800,96,2.9400000000000004,-10.94,39.120000000000005
1844,657,1274,-5.13,-0.5,39.31
1373,722,1593,-4.25,1.81,39.370000000000005
1854,1586,1777,-1.12,-1.13,39.870000000000005
1624,1856,3,0.0,-12.94,40.370000000000005
720,1886,1334,4.6899999999999995,-0.75,40.81
838,1466,318,3.0599999999999996,-8.44,41.0
362,1596,231,6.0,-7.5600000000000005,41.25
771,1566,1818,3.8100000000000005,1.38,42.06
1683,1875,1569,0.3799999999999999,-2.0,42.56
869,1742,1446,3.6900000000000004,-0.18999999999999995,42.75
498,1224,164,4.5,-7.19,42.81
1488,296,679,-6.5600000000000005,-2.44,42.620000000000005
299,904,1016,3.5599999999999996,2.13,42.620000000000005
1016,1248,1673,1.5,1.38,42.870000000000005
737,763,752,0.5,-0.75,42.94
1774,1563,208,-0.56,-11.25,43.370000000000005
1432,1060,70,-1.62,-10.88,44.5
861,1342,949,2.25,-2.69,44.81
573,1643,336,5.5,-7.5,44.94
1551,312,512,-7.0,-4.19,44.75
180,1992,1601,8.81,3.06,44.75
190,1072,1838,7.0,5.81,44.56
502,260,1680,-1.25,7.69,44.44
724,1974,1420,4.4399999999999995,0.25,44.31
1011,1357,799,2.1900000000000004,-3.5599999999999996,44.620000000000005
1630,791,131,-3.69,-9.31,45.370000000000005
101,925,1591,5.630000000000001,5.31,45.44
1548,1849,753,0.9400000000000004,-6.13,45.75
1937,60,1034,-9.5,0.69,45.120000000000005
969,1444,1018,1.6900000000000004,-2.13,45.44
574,333,1234,-1.56,5.06,45.44
539,750,311,1.25,-3.75,45.370000000000005
388,82,1709,-1.81,8.69,45.44
992,814,403,-1.62,-5.19,45.370000000000005
2000,2000,2000,-0.69,-0.26,1.6299999999999955
854,1756,135,3.88,-10.010000000000002,2.0
1720,773,877,-3.94,-2.63,2.3100000000000023
1570,642,907,-5.4399999999999995,-1.69,2.25
1851,970,469,-4.5600000000000005,-7.07,2.5600000000000023
689,355,1067,-2.69,4.68,2.5600000000000023
1624,1504,1260,-0.69,-0.38,3.1299999999999955
355,1838,404,8.56,-4.26,3.1299999999999955
530,1169,1412,5.880000000000001,3.87,3.0600000000000023
903,1430,256,3.63,-6.9399999999999995,3.25
1752,537,1369,-4.8100000000000005,2.37,4.060000000000002
1290,173,71,-7.13,-4.57,4.0
381,1215,380,5.8100000000000005,-3.44,4.0
1013,270,515,-4.5600000000000005,-0.5700000000000001,3.9399999999999977
42,1174,989,7.9399999999999995,4.25,3.6899999999999977
650,151,802,-2.63,5.3100000000000005,3.75
1581,1334,105,-0.75,-9.63,4.0
1061,1326,511,1.75,-5.4399999999999995,4.439999999999998
1915,185,945,-9.059999999999999,1.06,3.9399999999999977
1239,1542,1001,2.1900000000000004,-1.5699999999999998,5.1299999999999955
1950,121,550,-8.5,-2.19,4.75
914,1884,1616,4.3100000000000005,0.9999999999999999,5.189999999999998
